11.875,108.0,3.0,3.0,5.625,57.0,3.0,3.0,5.625,70.0,3.0,3.0,4.75,46.0,4.0,3.0,6.75,71.0,4.0,3.0,12.125,126.0,4.0,3.0,8.25,77.0,2.0,5.0,15.0,140.0,4.0,2.0,1
8.25,119.0,3.0,5.0,6.375,93.0,5.0,5.0,4.625,44.0,3.0,3.0,5.5,59.0,4.0,3.0,22.625,237.0,5.0,4.0,27.0,259.0,3.0,2.0,20.625,234.0,5.0,4.0,18.125,228.0,4.0,4.0,1
9.25,93.0,3.0,3.0,7.0,98.0,4.0,4.0,7.25,99.0,3.0,4.0,5.125,69.0,4.0,4.0,7.25,80.0,4.0,5.0,31.25,273.0,3.0,5.0,7.75,88.0,3.0,3.0,10.5,118.0,5.0,4.0,1
13.75,177.0,2.0,3.0,10.125,90.0,4.0,5.0,7.125,84.0,6.0,5.0,4.625,45.0,4.0,5.0,14.0,172.0,6.0,6.0,24.875,193.0,2.0,3.0,11.625,147.0,3.0,4.0,21.875,217.0,4.0,5.0,1
22.25,308.0,4.0,6.0,12.75,176.0,5.0,4.0,11.25,142.0,5.0,4.0,7.0,74.0,2.0,4.0,15.25,109.0,1.0,1.0,50.75,496.0,4.0,3.0,10.625,113.0,5.0,3.0,22.25,263.0,5.0,4.0,1
9.25,127.0,5.0,5.0,5.0,59.0,3.0,3.0,3.625,37.0,2.0,2.0,4.375,45.0,3.0,6.0,11.5,145.0,5.0,4.0,25.5,296.0,4.0,4.0,9.375,109.0,4.0,5.0,15.25,185.0,5.0,4.0,1
24.125,330.0,5.0,4.0,10.875,117.0,4.0,2.0,8.375,94.0,4.0,3.0,6.5,82.0,4.0,3.0,28.0,349.0,5.0,4.0,52.375,613.0,5.0,4.0,10.25,148.0,5.0,6.0,12.375,114.0,4.0,3.0,1
19.625,250.0,5.0,4.0,12.875,160.0,3.0,3.0,10.75,124.0,3.0,5.0,9.625,120.0,5.0,4.0,20.5,255.0,5.0,5.0,36.625,477.0,5.0,5.0,6.625,71.0,6.0,5.0,11.875,88.0,1.0,3.0,1
10.25,120.0,4.0,5.0,6.5,70.0,3.0,3.0,3.5,40.0,2.0,6.0,2.875,26.0,3.0,4.0,15.0,135.0,4.0,6.0,41.5,259.0,2.0,3.0,8.25,91.0,4.0,4.0,11.75,161.0,5.0,5.0,1
24.5,227.0,3.0,2.0,8.625,107.0,6.0,5.0,5.5,54.0,4.0,5.0,5.625,54.0,5.0,4.0,12.25,125.0,3.0,4.0,37.25,397.0,5.0,4.0,15.625,134.0,3.0,3.0,17.25,156.0,4.0,4.0,1
17.625,243.0,5.0,5.0,5.5,60.0,4.0,4.0,7.625,88.0,4.0,4.0,6.875,94.0,4.0,4.0,15.75,235.0,2.0,5.0,17.75,175.0,4.0,3.0,10.125,125.0,4.0,4.0,15.75,165.0,3.0,4.0,1
25.875,317.0,5.0,4.0,13.25,159.0,4.0,3.0,12.75,143.0,4.0,4.0,7.375,82.0,5.0,3.0,8.5,120.0,6.0,6.0,22.375,292.0,4.0,6.0,10.375,118.0,3.0,4.0,19.875,205.0,6.0,5.0,1
21.25,314.0,6.0,5.0,6.625,62.0,3.0,2.0,4.0,52.0,3.0,5.0,4.75,71.0,4.0,6.0,24.25,328.0,4.0,4.0,39.25,541.0,5.0,6.0,10.75,100.0,3.0,4.0,12.125,160.0,4.0,3.0,1
17.75,215.0,5.0,4.0,7.0,94.0,3.0,6.0,4.625,58.0,3.0,2.0,4.5,51.0,5.0,4.0,15.5,210.0,6.0,5.0,46.5,581.0,5.0,4.0,7.75,66.0,3.0,5.0,18.25,215.0,5.0,5.0,1
17.125,161.0,4.0,4.0,13.625,123.0,4.0,3.0,12.625,131.0,4.0,5.0,5.5,72.0,6.0,5.0,17.625,175.0,4.0,3.0,48.0,514.0,4.0,5.0,9.375,93.0,4.0,3.0,9.125,93.0,5.0,5.0,1
12.625,139.0,5.0,5.0,8.0,90.0,4.0,3.0,4.875,66.0,5.0,4.0,4.0,43.0,2.0,4.0,15.75,152.0,3.0,3.0,34.375,302.0,4.0,3.0,17.125,142.0,4.0,3.0,6.75,65.0,3.0,5.0,1
9.5,124.0,3.0,6.0,6.625,54.0,2.0,2.0,4.25,31.0,1.0,1.0,5.5,72.0,4.0,4.0,23.5,333.0,5.0,5.0,30.625,426.0,5.0,5.0,12.25,126.0,5.0,4.0,15.25,191.0,6.0,5.0,1
16.0,205.0,6.0,5.0,8.5,76.0,3.0,3.0,6.875,59.0,3.0,3.0,4.25,42.0,3.0,2.0,8.125,79.0,3.0,4.0,22.625,304.0,3.0,3.0,20.375,284.0,6.0,5.0,12.875,148.0,3.0,3.0,1
17.25,239.0,6.0,6.0,14.5,130.0,2.0,2.0,13.625,130.0,2.0,4.0,5.625,63.0,2.0,5.0,12.0,121.0,4.0,2.0,30.125,304.0,3.0,3.0,7.0,91.0,6.0,5.0,8.75,96.0,5.0,5.0,1
11.125,150.0,5.0,5.0,10.25,147.0,7.0,6.0,5.625,64.0,2.0,4.0,5.0,52.0,4.0,5.0,25.375,310.0,6.0,5.0,32.875,373.0,2.0,5.0,10.375,154.0,4.0,5.0,17.25,191.0,5.0,4.0,1
17.25,189.0,4.0,3.0,12.0,87.0,2.0,2.0,5.25,36.0,3.0,2.0,2.875,24.0,3.0,4.0,8.25,69.0,3.0,4.0,16.625,224.0,5.0,6.0,7.75,85.0,5.0,3.0,17.75,230.0,6.0,5.0,1
16.0,168.0,3.0,4.0,7.0,94.0,3.0,5.0,5.375,57.0,4.0,3.0,5.875,60.0,3.0,3.0,22.625,268.0,3.0,3.0,49.375,445.0,3.0,3.0,8.375,98.0,3.0,4.0,18.5,140.0,3.0,4.0,1
17.125,225.0,6.0,5.0,15.5,191.0,4.0,3.0,12.0,140.0,4.0,4.0,5.0,45.0,3.0,2.0,6.0,59.0,3.0,4.0,28.0,322.0,5.0,4.0,16.125,169.0,3.0,5.0,20.75,279.0,5.0,5.0,1
14.375,154.0,4.0,3.0,9.0,116.0,4.0,5.0,8.625,86.0,3.0,4.0,3.75,33.0,1.0,2.0,10.25,101.0,5.0,4.0,40.5,554.0,6.0,5.0,14.5,193.0,6.0,5.0,12.125,156.0,4.0,4.0,1
21.75,302.0,5.0,5.0,10.5,122.0,5.0,3.0,9.5,87.0,5.0,3.0,4.875,58.0,3.0,6.0,8.0,105.0,4.0,4.0,14.5,148.0,4.0,3.0,17.125,183.0,3.0,5.0,17.375,213.0,4.0,4.0,1
19.25,255.0,4.0,4.0,7.375,98.0,5.0,5.0,5.25,76.0,5.0,5.0,3.25,33.0,3.0,5.0,8.375,68.0,2.0,3.0,34.0,394.0,4.0,3.0,10.25,111.0,4.0,4.0,24.375,364.0,6.0,5.0,1
